Genre,Type,Source,Producer,Studio,Rating,Members,ScoredBy,Episodes,C_Popular
6,5,6,3,6,7.68,38248.0,14812.0,50.0,0
0,5,6,18,10,7.69,85983.0,37256.0,49.0,0
1,5,12,27,32,6.36,91476.0,53587.0,12.0,0
0,5,6,10,2,7.51,128093.0,55026.0,13.0,0
1,5,6,3,6,8.17,84109.0,39750.0,75.0,0
0,5,6,13,27,8.47,228839.0,114939.0,62.0,0
12,5,6,26,20,6.22,8406.0,3205.0,12.0,1
13,5,6,36,33,7.01,49891.0,22058.0,12.0,0
2,5,12,11,34,7.22,47125.0,20186.0,13.0,0
1,5,6,3,11,7.64,121303.0,47231.0,26.0,0
3,5,9,37,11,6.87,46840.0,23141.0,12.0,0
2,5,12,19,35,7.35,104684.0,52812.0,14.0,0
0,5,6,0,4,7.11,98768.0,50789.0,12.0,0
0,5,9,12,13,7.76,251177.0,108084.0,50.0,0
0,5,9,12,13,7.76,251177.0,108084.0,50.0,0
0,3,6,38,11,7.15,15731.0,6192.0,3.0,0
0,5,9,39,9,7.34,21270.0,9119.0,24.0,0
0,5,8,40,6,8.13,82769.0,28752.0,45.0,0
0,5,6,3,19,7.83,214972.0,120458.0,64.0,0
0,0,6,20,2,6.66,25938.0,14426.0,1.0,0
0,5,6,0,2,7.52,58116.0,26671.0,24.0,0
1,5,6,23,19,7.08,95677.0,45323.0,26.0,0
8,5,5,41,10,7.44,40557.0,14191.0,13.0,0
6,5,6,20,11,6.4,13863.0,4614.0,24.0,1
6,5,9,33,16,7.76,75124.0,24855.0,13.0,0
0,5,6,8,9,7.4,40634.0,17546.0,24.0,0
1,5,6,42,2,7.04,17750.0,7854.0,26.0,0
6,5,4,43,6,6.54,5105.0,2529.0,26.0,1
0,0,9,44,36,8.8,506368.0,332946.0,1.0,0
0,5,9,45,1,7.5,78993.0,31178.0,26.0,0
14,5,14,8,9,7.57,87098.0,44514.0,26.0,0
6,5,5,20,1,7.48,67709.0,28886.0,24.0,0
0,5,9,46,0,7.43,60569.0,29600.0,26.0,0
0,5,12,18,4,7.04,107990.0,51150.0,12.0,0
1,5,6,26,34,8.55,114590.0,54910.0,101.0,0
15,5,6,47,10,7.31,31017.0,10634.0,25.0,0
0,5,6,26,2,7.05,124312.0,64581.0,24.0,0
