Codigo,Traducción
0,Action
1,Comedy
2,Drama
3,Sci-Fi
4,Samurai
5,Game
6,Adventure
7,Harem
8,Slice of Life
9,Military
10,Space
11,Music
12,Mecha
13,Supernatural
14,Historical
15,Mystery
16,Magic
17,School
18,Horror
19,Ecchi
20,Fantasy
21,Sports
22,Dementia
23,Psychological
24,Romance
25,Demons
26,Hentai
27,Kids
28,Police
29,Parody
30,Shounen
31,Cars
32,Martial Arts
33,Thriller
34,Josei
35,Seinen
36,Shoujo
37,Super Power
