Codigo,Traducción
0,4-koma manga
1,Book
2,Card game
3,Digital manga
4,Game
5,Light novel
6,Manga
7,Music
8,Novel
9,Original
10,Other
11,Picture book
12,Radio
13,Unknown
14,Visual novel
15,Web manga
